iter	Passed	Remaining
0	157	156908
1	159	79422
2	160	53490
3	162	40551
4	164	32760
5	166	27573
6	168	23919
7	170	21187
8	173	19092
9	175	17362
10	177	15940
11	178	14732
12	181	13754
13	183	12902
14	185	12165
15	187	11508
16	188	10927
17	190	10407
18	192	9943
19	194	9542
20	196	9174
21	198	8844
22	201	8542
23	202	8252
24	204	7984
25	206	7749
26	208	7517
27	210	7301
28	212	7102
29	214	6920
30	216	6758
31	218	6596
32	219	6437
33	221	6297
34	223	6160
35	225	6026
36	226	5902
37	228	5785
38	230	5677
39	232	5574
40	234	5480
41	236	5383
42	237	5290
43	239	5205
44	241	5120
45	242	5037
46	244	4955
47	246	4888
48	248	4817
49	249	4740
50	250	4665
51	252	4594
52	253	4532
53	255	4471
54	256	4411
55	258	4350
56	259	4293
57	261	4240
58	262	4187
59	263	4131
60	264	4078
61	266	4033
62	267	3985
63	269	3936
64	270	3889
65	271	3842
66	273	3803
67	273	3752
68	274	3709
69	276	3670
70	277	3630
71	278	3594
72	279	3554
73	280	3515
74	281	3477
75	283	3440
76	284	3405
77	285	3374
78	286	3341
79	287	3308
80	288	3274
81	289	3241
82	290	3212
83	292	3185
84	292	3153
85	294	3124
86	294	3092
87	295	3063
88	296	3035
89	297	3007
90	298	2983
91	299	2959
92	300	2934
93	301	2910
94	303	2887
95	304	2864
96	305	2842
97	306	2825
98	308	2804
99	309	2782
100	310	2761
101	310	2735
102	311	2712
103	312	2690
104	313	2671
105	314	2650
106	315	2630
107	316	2610
108	316	2590
109	317	2571
110	318	2552
111	319	2535
112	320	2517
113	321	2501
114	322	2484
115	323	2465
116	324	2448
117	325	2432
118	326	2415
119	327	2399
120	328	2383
121	329	2368
122	329	2350
123	330	2334
124	331	2319
125	332	2304
126	333	2289
127	333	2272
128	334	2258
129	335	2243
130	335	2228
131	336	2215
132	337	2202
133	338	2188
134	339	2175
135	340	2162
136	341	2149
137	341	2135
138	342	2122
139	343	2109
140	344	2098
141	345	2086
142	346	2074
143	346	2061
144	347	2049
145	348	2037
146	349	2025
147	349	2014
148	350	2003
149	351	1992
150	352	1981
151	353	1971
152	354	1961
153	354	1950
154	355	1938
155	356	1927
156	356	1916
157	357	1905
158	358	1894
159	358	1884
160	359	1874
161	360	1863
162	360	1853
163	361	1843
164	362	1833
165	362	1823
166	363	1815
167	364	1805
168	365	1796
169	366	1788
170	367	1781
171	369	1780
172	370	1771
173	371	1763
174	372	1754
175	373	1746
176	373	1737
177	374	1729
178	375	1720
179	375	1712
180	376	1702
181	377	1695
182	377	1687
183	378	1679
184	379	1671
185	380	1663
186	380	1655
187	381	1649
188	382	1643
189	384	1637
190	384	1630
191	385	1623
192	386	1615
