iter	Passed	Remaining
0	134	134072
1	135	67381
2	135	45102
3	136	33967
4	137	27286
5	137	22836
6	138	19671
7	139	17278
8	140	15417
9	140	13938
10	141	12725
11	142	11718
12	143	10861
13	143	10120
14	144	9472
15	144	8903
16	145	8404
17	145	7961
18	146	7561
19	146	7202
20	147	6876
21	148	6580
22	148	6310
23	149	6061
24	149	5832
25	150	5621
26	150	5425
27	151	5243
28	151	5074
29	152	4922
30	153	4785
31	153	4653
32	154	4530
33	155	4410
34	155	4294
35	156	4185
36	156	4082
37	157	3984
38	157	3891
39	158	3803
40	158	3718
41	159	3640
42	160	3563
43	160	3491
44	161	3421
45	161	3354
46	162	3289
47	162	3228
48	163	3169
49	163	3112
50	164	3057
51	164	3005
52	165	2954
53	165	2905
54	166	2859
55	167	2819
56	168	2779
57	168	2740
58	169	2700
59	169	2661
60	170	2624
61	171	2588
62	171	2554
63	172	2520
64	172	2486
65	173	2453
66	173	2421
67	174	2390
68	174	2360
69	175	2330
70	175	2302
71	176	2274
72	176	2247
73	177	2220
74	177	2194
75	178	2169
76	178	2144
77	179	2120
78	179	2097
79	180	2074
80	180	2052
81	181	2032
82	181	2010
83	182	1993
84	183	1974
85	184	1956
86	184	1938
87	185	1920
88	185	1903
89	186	1887
90	187	1872
91	188	1855
92	188	1839
93	189	1824
94	189	1808
95	190	1793
96	191	1778
97	191	1763
98	192	1749
99	192	1735
100	193	1722
101	194	1709
102	194	1695
103	195	1683
104	196	1670
105	197	1661
106	197	1651
107	198	1641
108	199	1629
109	199	1617
110	200	1605
111	201	1594
112	201	1582
113	202	1571
114	202	1560
115	203	1549
116	203	1537
117	204	1527
118	205	1517
119	205	1507
120	206	1498
121	206	1488
122	207	1479
123	208	1470
124	208	1461
125	209	1452
126	209	1443
127	210	1434
128	211	1426
129	212	1421
130	213	1413
131	213	1406
132	214	1398
133	215	1390
134	215	1382
135	216	1374
136	216	1366
137	217	1359
138	218	1352
139	218	1344
140	219	1337
141	219	1329
142	220	1322
143	221	1314
144	221	1307
145	222	1300
146	223	1294
147	223	1287
148	224	1280
149	224	1274
150	225	1268
151	226	1262
152	227	1259
153	228	1254
154	228	1248
155	229	1242
156	230	1236
157	230	1229
158	231	1223
159	232	1218
160	232	1211
161	233	1205
162	233	1200
163	234	1194
164	234	1188
165	235	1183
166	236	1177
167	236	1172
168	237	1167
169	237	1161
170	238	1156
171	239	1151
172	239	1146
173	240	1141
174	241	1136
175	242	1133
176	242	1129
177	243	1125
178	244	1120
179	244	1115
180	245	1111
181	246	1106
182	246	1101
183	247	1097
184	248	1093
185	248	1088
186	249	1084
187	250	1079
188	250	1075
189	251	1071
190	252	1067
191	252	1063
192	253	1059
193	253	1054
194	254	1050
195	255	1046
196	255	1042
197	256	1038
198	257	1036
199	258	1033
200	259	1029
201	259	1025
202	260	1021
203	260	1017
204	261	1013
205	262	1009
206	262	1006
207	263	1002
208	263	998
209	264	994
210	264	990
211	265	986
212	266	983
213	266	979
214	267	975
215	267	972
216	268	969
217	269	965
218	269	961
219	270	958
220	270	955
221	271	952
222	272	950
223	273	947
224	274	944
225	274	941
226	275	937
227	275	934
228	276	931
229	277	927
230	277	924
231	278	921
232	279	918
233	279	915
234	280	912
235	280	909
236	281	906
237	282	902
238	282	899
239	283	896
240	283	893
241	284	890
242	285	887
243	285	885
244	286	882
245	287	881
246	288	878
247	288	875
248	289	872
249	289	869
250	290	866
251	291	863
252	291	861
253	292	858
254	292	855
255	293	852
256	294	850
257	294	847
258	295	844
259	295	842
260	296	839
261	297	836
262	297	834
263	298	831
264	298	829
265	299	826
266	300	824
267	300	821
268	302	822
269	303	819
270	303	817
271	304	814
272	305	812
273	305	809
274	306	807
275	306	804
276	307	802
277	307	799
278	308	797
279	309	794
280	309	792
281	310	790
282	311	788
283	311	785
284	312	783
285	312	780
286	313	778
287	314	776
288	314	774
289	315	771
290	315	769
291	316	767
292	317	766
293	318	764
294	319	763
295	319	761
296	320	758
297	321	756
298	321	754
299	322	752
300	323	750
301	323	748
302	324	746
303	324	744
304	325	742
305	326	739
306	326	737
307	327	735
308	328	733
309	328	731
310	329	729
311	329	727
312	330	725
313	331	723
314	332	722
315	333	722
316	334	720
317	334	718
318	335	716
319	336	714
320	336	712
321	337	710
322	337	708
323	338	706
324	339	704
325	339	702
326	340	700
327	341	698
328	341	696
329	342	694
330	342	692
331	343	690
332	343	688
333	344	686
334	345	684
335	345	682
336	346	681
337	346	679
338	347	677
339	348	676
340	348	674
341	349	672
342	350	670
343	350	668
344	351	666
345	351	664
346	352	663
347	353	661
348	353	659
349	354	657
350	354	655
351	355	654
352	355	652
353	356	650
354	357	648
355	357	647
356	358	645
357	358	643
358	359	642
359	360	640
360	360	638
361	361	636
362	362	635
363	363	634
364	363	633
365	364	631
366	365	629
367	365	628
368	366	626
369	366	624
370	367	622
371	368	621
372	368	619
373	369	617
374	369	616
375	370	614
376	371	613
377	371	611
378	372	610
379	372	608
380	373	606
381	374	605
382	374	603
383	375	602
384	375	600
385	376	599
386	377	598
387	378	597
388	379	595
389	380	594
390	380	592
391	381	591
392	381	589
393	382	588
394	383	586
395	383	585
396	384	583
397	384	582
398	385	580
399	386	579
400	386	577
401	387	576
402	388	575
403	388	573
404	389	572
405	390	570
406	390	569
407	391	567
408	392	566
409	392	565
410	393	564
411	394	563
412	395	561
413	395	560
414	396	558
415	397	557
416	397	555
417	398	554
418	398	553
419	399	551
420	400	550
421	400	548
422	401	547
423	401	546
424	402	544
425	403	543
426	403	542
427	404	540
428	405	539
429	405	537
430	406	536
431	407	535
432	408	534
433	409	533
434	409	532
435	410	530
